h, theta, phi
-1.79859208, 3.4264864, -0.183751858
-1.54953256, 3.42660616, -0.183794539
-1.6997133, 3.42653244, -0.183767028
-1.62473617, 3.42656195, -0.183775136
-1.73539374, 3.42654366, -0.183780589
-1.67528485, 3.42657587, -0.183787406
-1.56415606, 3.42657615, -0.183779101
-1.55520079, 3.42653596, -0.183760412
-1.54717173, 3.42658183, -0.183785421
-1.80909274, 3.42652292, -0.183773169
-1.81488378, 3.42651217, -0.183761951
-1.46270117, 3.42655012, -0.183779576
-1.46009998, 3.42658459, -0.183791627
-1.36912447, 3.42657706, -0.183804179
-1.65274625, 3.42655315, -0.183778891
-1.70476051, 3.42653602, -0.183767671
-1.55725738, 3.42653332, -0.183775341
-1.44149885, 3.42655068, -0.183778031
-1.38167132, 3.42657037, -0.183777649
-1.26643158, 3.42661351, -0.183792554
-1.60864176, 3.42656798, -0.183773472
-1.46575484, 3.42655627, -0.18377972
-1.73419685, 3.42651593, -0.183778792
-1.33541032, 3.42659027, -0.183781439
-1.68657391, 3.42653018, -0.183771912
-1.72777596, 3.42653819, -0.183765865
-1.49937773, 3.42656809, -0.183784021
-1.58898922, 3.42654362, -0.183762404
-1.91115904, 3.42649135, -0.183750175
-1.83332852, 3.42649824, -0.183755284
-1.49382541, 3.42656333, -0.183767127
-1.51310712, 3.42656575, -0.183770814
-1.53330818, 3.42655135, -0.183775765
-1.50075779, 3.42658422, -0.183781194
-1.82013077, 3.42651849, -0.1837671
-1.37239209, 3.42659576, -0.183775979
-1.75744762, 3.42653117, -0.183762542
-1.65771187, 3.42652685, -0.183774058
-1.81980324, 3.42652543, -0.183763533
-1.40292677, 3.42659129, -0.18378797
-1.46302796, 3.42658181, -0.183783488
-1.35788129, 3.42659739, -0.183794062
-1.75616528, 3.42652135, -0.183776628
-1.74922297, 3.42654068, -0.183786956
-1.51228991, 3.42655574, -0.183776244
-1.72196905, 3.42652723, -0.183765526
-1.32081212, 3.42657225, -0.183783375
-1.57253454, 3.42654325, -0.183777136
-1.69686627, 3.42653524, -0.183766139
-1.49817703, 3.42654488, -0.183769571
-1.6951802, 3.42651091, -0.183764555
-1.44366786, 3.42656678, -0.183792338
-1.45918341, 3.42653829, -0.183781318
-1.65266313, 3.42655096, -0.183769003
-1.49820497, 3.42656171, -0.183770393
-1.29158093, 3.42658866, -0.183786931
-1.65744081, 3.42653673, -0.18377321
-1.68158244, 3.42654192, -0.183780527
-1.44807468, 3.42657164, -0.183777854
-1.62366489, 3.42655517, -0.183767398
-1.58773457, 3.42651939, -0.183768389
-1.57627074, 3.42657466, -0.183775017
-1.73819496, 3.42653254, -0.183770099
-1.53631985, 3.42655921, -0.183779287
-1.46702611, 3.42658664, -0.183778241
-1.38041084, 3.42658028, -0.183786022
-1.6219231, 3.42656148, -0.183775408
-1.63584969, 3.42652978, -0.183775776
-1.89468188, 3.42651975, -0.183758797
-1.74594053, 3.42652924, -0.18376591
-1.75662099, 3.42651159, -0.183764048
-1.62984801, 3.42654653, -0.1837775
-1.67461698, 3.42654501, -0.183765086
-1.88493923, 3.42650139, -0.183751847
-1.35213312, 3.42659673, -0.183790527
-1.19661572, 3.42660641, -0.183783355
-1.80344168, 3.42650621, -0.183760347
-1.53656127, 3.42657051, -0.183777009
-1.75693759, 3.42652213, -0.183766945
-1.36973153, 3.4265799, -0.183792441
-1.30613429, 3.42660028, -0.183787234
-1.70158657, 3.42652342, -0.183763593
-1.59640596, 3.42654535, -0.18377962
-1.81431945, 3.42649549, -0.183752792
-1.42653418, 3.4265534, -0.183773472
-1.58816316, 3.42655769, -0.183772113
-1.4898195, 3.42655005, -0.183781441
-1.71790545, 3.42650522, -0.183758162
-1.06720152, 3.42664573, -0.183807842
-1.3723054, 3.4265695, -0.183793333
