h, theta, phi
-1.80033047, 3.42646745, -0.183746254
-1.59988349, 3.42662557, -0.183821194
-1.71201986, 3.42652977, -0.183770045
-1.63091601, 3.42657145, -0.183777778
-1.82570991, 3.42653395, -0.183820297
-1.75349957, 3.42658287, -0.183823896
-1.56044205, 3.42659059, -0.183778624
-1.48216073, 3.42654018, -0.183725413
-1.56924389, 3.42659225, -0.183797581
-1.89997021, 3.42650764, -0.183811079
-1.85328906, 3.42650264, -0.183774637
-1.45879667, 3.42653811, -0.183779037
-1.48939683, 3.42658626, -0.183808493
-1.45218225, 3.4265526, -0.183847184
-1.69843987, 3.42655106, -0.183799266
-1.71855724, 3.42653575, -0.183771502
-1.57455884, 3.42651562, -0.183782654
-1.42169538, 3.42654046, -0.183770321
-1.32115812, 3.4265756, -0.183752565
-1.21301922, 3.4266323, -0.183774525
-1.59398511, 3.42658432, -0.183766847
-1.45714522, 3.42654946, -0.183777239
-1.84284922, 3.42648468, -0.183825705
-1.26230288, 3.42660606, -0.183752041
-1.7258255, 3.42651867, -0.183787638
-1.73563284, 3.42654294, -0.183766711
-1.51343961, 3.42656693, -0.183792357
-1.52956826, 3.42655295, -0.183733757
-1.93146279, 3.42648268, -0.183752026
-1.85297849, 3.42648613, -0.18375822
-1.41288257, 3.42658018, -0.183730602
-1.45682619, 3.42658046, -0.183745765
-1.5269931, 3.42654781, -0.183773215
-1.48184389, 3.42660071, -0.183774824
-1.88352271, 3.42650778, -0.183791751
-1.27280404, 3.42662473, -0.183733901
-1.762152, 3.42653527, -0.183761156
-1.70434964, 3.42650867, -0.183793471
-1.85495922, 3.42652539, -0.183775304
-1.38684583, 3.42660161, -0.18378459
-1.44873725, 3.42659193, -0.183779671
-1.35739736, 3.4266034, -0.183798935
-1.85305661, 3.42649836, -0.183818001
-1.88400847, 3.42652046, -0.183847174
-1.49788228, 3.42655464, -0.183770391
-1.73763166, 3.42652281, -0.183769555
-1.27348713, 3.42656947, -0.183765399
-1.59442874, 3.42653225, -0.183786908
-1.700191, 3.42653605, -0.183765119
-1.45211144, 3.42654276, -0.183748461
-1.7143454, 3.42649282, -0.183769757
-1.49088546, 3.42655163, -0.183816947
-1.47678246, 3.42651367, -0.183790338
-1.64297332, 3.42656004, -0.183763261
-1.43926865, 3.426573, -0.183744084
-1.23901969, 3.42659433, -0.183767707
-1.68866839, 3.42652816, -0.183785894
-1.75725844, 3.42652898, -0.183814013
-1.40720687, 3.42657994, -0.183761211
-1.59154417, 3.42656902, -0.183751715
-1.58826114, 3.4264999, -0.183766703
-1.55394587, 3.42659362, -0.183765557
-1.77980573, 3.42652721, -0.183786357
-1.54317313, 3.42655788, -0.183783287
-1.41832739, 3.42660798, -0.183758427
-1.35782388, 3.42658294, -0.183779318
-1.62933748, 3.42657013, -0.183778644
-1.68289545, 3.42651111, -0.183795824
-1.93052905, 3.42652359, -0.183769598
-1.76889528, 3.42652685, -0.183773143
-1.7904724, 3.42649682, -0.183775352
-1.667539, 3.42653981, -0.183794089
-1.65489211, 3.42655487, -0.183754036
-1.89660908, 3.42649826, -0.183750512
-1.33006406, 3.42660665, -0.183785279
-1.07644202, 3.42662887, -0.18373439
-1.83533928, 3.42649327, -0.183769832
-1.51834549, 3.42658194, -0.183769796
-1.79670111, 3.42651262, -0.183781555
-1.38169109, 3.4265734, -0.183802124
-1.24749925, 3.42661604, -0.183765548
-1.70389755, 3.42651759, -0.183761434
-1.63770074, 3.4265337, -0.183798293
-1.81663094, 3.42648367, -0.18374771
-1.3728907, 3.42655104, -0.18375017
-1.57027826, 3.42656629, -0.183763718
-1.5049387, 3.42653643, -0.183789483
-1.71254245, 3.42649144, -0.183751256
-1.00935948, 3.42666532, -0.183792033
-1.40113396, 3.42655295, -0.183810393
-2.1314976, 3.42648228, -0.183815274
-1.63376055, 3.4265239, -0.183712329
-1.60986015, 3.42651935, -0.18380423
-1.95739558, 3.4265107, -0.183796722
-1.52579852, 3.42657345, -0.183742092
-1.47036076, 3.4265629, -0.183817881
-1.64692046, 3.42651975, -0.183768023
-1.50940201, 3.42653653, -0.183799521
-1.41825096, 3.4265493, -0.183779457
-1.34865482, 3.42658482, -0.183811805
-1.97730275, 3.42650126, -0.183807801
-1.61139838, 3.42651674, -0.183777399
-2.11034481, 3.42646288, -0.183780934
-1.39626333, 3.42657365, -0.183771187
-1.73679371, 3.42652472, -0.183803718
-1.50732921, 3.42657597, -0.183779286
-1.90052623, 3.42646655, -0.18375176
-2.0122905, 3.42650166, -0.183779964
-1.47577097, 3.42665261, -0.18376149
-1.84711411, 3.42651073, -0.183744644
-1.18976144, 3.42659158, -0.183762702
-1.68345078, 3.42655605, -0.183769638
-1.89812727, 3.42651977, -0.183773295
-1.90947798, 3.42650481, -0.18369619
-1.54819876, 3.42654783, -0.183733362
-1.6430044, 3.42653037, -0.183769098
-1.68728101, 3.42657094, -0.183749461
-1.56164488, 3.42658635, -0.183776157
-1.48692541, 3.42654519, -0.183773102
-1.50991444, 3.42659222, -0.183785135
-1.47494211, 3.42658135, -0.183791055
-1.4294756, 3.42661949, -0.183791281
-1.48660477, 3.42656577, -0.183730153
-1.82276216, 3.42651014, -0.183800415
-1.40143924, 3.42655878, -0.183757261
-1.30488935, 3.42656829, -0.183741749
-1.91736685, 3.42650599, -0.18375065
-1.63529263, 3.42651049, -0.183788295
-1.3146526, 3.42658443, -0.183747495
-1.43760851, 3.42655439, -0.183796233
-1.55273775, 3.42655783, -0.183764389
-1.6107406, 3.42651761, -0.183775481
-1.3887685, 3.42657506, -0.183808385
-1.58520174, 3.42655511, -0.183749803
-1.52432691, 3.42661945, -0.183799946
-1.39559999, 3.42658197, -0.183808628
-1.65296495, 3.42655339, -0.183756201
-1.37879794, 3.42658708, -0.183785731
-1.09868078, 3.42666056, -0.183781634
-2.04676194, 3.42644713, -0.183829442
-1.46170033, 3.42659439, -0.183820091
-1.50987703, 3.42652098, -0.183824676
-1.81969464, 3.42651392, -0.183782086
-1.67932405, 3.42653585, -0.183775168
-1.37806398, 3.4265424, -0.183798714
-1.4781729, 3.42658203, -0.183771006
-1.74855301, 3.42655692, -0.183754969
-1.5008316, 3.42652385, -0.183773619
