h, theta, phi
-1.7106529, 3.42653229, -0.18383459
-1.27982611, 3.42660405, -0.183758956
-1.63232658, 3.42656527, -0.183777687
-1.63823539, 3.42659135, -0.183776983
-1.32084791, 3.42653989, -0.183790478
-1.44324876, 3.42658659, -0.183726288
-1.84222834, 3.42647977, -0.183751661
-1.40019718, 3.42658884, -0.183752951
-1.61791421, 3.42656206, -0.183765961
-1.19281632, 3.42658568, -0.183758253
-1.54309203, 3.42656767, -0.183786288
-1.47659736, 3.4265421, -0.183752147
-1.39889771, 3.42654093, -0.183814968
-1.37283366, 3.42657076, -0.183829009
-1.8211987, 3.42648038, -0.183772613
-1.68439574, 3.42652956, -0.183757209
-1.40230303, 3.42656795, -0.183753278
-1.77029862, 3.42653003, -0.183754827
-1.69238788, 3.42653452, -0.183814249
-1.56877292, 3.42657385, -0.183727949
-1.54160155, 3.42654897, -0.183760098
-1.86044713, 3.42648391, -0.18376615
-1.42233252, 3.42657808, -0.183763016
-1.16089379, 3.42664476, -0.183766098
-1.69926553, 3.42654694, -0.183733889
-1.65568096, 3.4265875, -0.183769643
-1.6795237, 3.42659335, -0.183817123
-1.51488048, 3.42659079, -0.183726055
-1.26216638, 3.42660703, -0.183777766
-1.34082667, 3.42662964, -0.183781045
-1.53184796, 3.42658757, -0.183756396
-1.62996498, 3.42651378, -0.183785272
-1.80177576, 3.42654487, -0.183805488
-1.77919131, 3.42658285, -0.183743583
-1.64845723, 3.42658274, -0.183811888
-1.35637403, 3.42663506, -0.183816766
-1.7009783, 3.4265078, -0.183798546
-1.44793151, 3.42658098, -0.183781407
-1.6198418, 3.42653544, -0.183759574
-1.44416542, 3.42660294, -0.183820018
-1.20568185, 3.42660272, -0.18378558
-1.43703304, 3.42652624, -0.183758107
-1.58720467, 3.42653818, -0.183757465
-1.25392695, 3.42660725, -0.18375659
-1.53578098, 3.42654302, -0.183749463
-1.42816807, 3.42663345, -0.18379373
-1.75287219, 3.42654033, -0.183803496
-1.64572371, 3.4265468, -0.183768859
-1.68942849, 3.42653795, -0.183760845
-1.55102531, 3.42659126, -0.183757456
-1.51957338, 3.42657521, -0.183780879
-1.48188675, 3.4265458, -0.183765411
-1.65181568, 3.42652532, -0.18373599
-1.68699805, 3.42654506, -0.183788602
-1.31363373, 3.42658332, -0.183790686
-1.61120201, 3.42660697, -0.183835616
-1.77370733, 3.42651223, -0.183808967
-1.62184882, 3.42649924, -0.183771982
-1.62160786, 3.42654989, -0.183788117
-1.35202556, 3.42659406, -0.183761932
-1.76784557, 3.42652495, -0.183802854
-1.44850518, 3.42658112, -0.183774873
-1.90930238, 3.42650908, -0.183792307
-1.4501522, 3.42658332, -0.183803964
-1.42420917, 3.42654092, -0.183787271
-1.67112004, 3.42656713, -0.183785771
-1.35945996, 3.42656605, -0.183735832
-1.28263303, 3.42658977, -0.183751982
-1.69737409, 3.42649358, -0.18373473
-1.40702302, 3.4265572, -0.183776474
-1.58059936, 3.42657002, -0.183791658
-1.45261596, 3.42652906, -0.183776445
-1.54452856, 3.4265685, -0.183791073
-1.72377935, 3.42651571, -0.183774003
-1.78236365, 3.42649897, -0.183792151
-1.63080802, 3.42652564, -0.183793527
-1.62907637, 3.42654863, -0.183756309
-1.37343939, 3.42657105, -0.183766915
-1.28801798, 3.42662833, -0.183769779
-1.7989784, 3.42655179, -0.183777259
-1.55661845, 3.42653205, -0.183761375
-1.73629663, 3.42656578, -0.183796109
-1.60697866, 3.42655986, -0.18377496
-1.70602686, 3.42656495, -0.183794732
-1.70049676, 3.42652093, -0.183780645
-1.4102871, 3.42657509, -0.183757805
-1.47696013, 3.42660344, -0.183766216
-1.67402802, 3.42653064, -0.183791892
-1.59982088, 3.42657354, -0.183759276
-1.41538054, 3.42661456, -0.183795006
-1.49136542, 3.42656628, -0.183770879
-1.89556282, 3.42652927, -0.183762839
-1.77335265, 3.42652539, -0.183777944
-1.40657777, 3.42658214, -0.183763301
-1.81188949, 3.42649537, -0.1837653
-1.51540316, 3.426508, -0.183759215
-1.5279421, 3.42653638, -0.183803806
-1.39977883, 3.42658405, -0.183756356
-1.66756289, 3.42656486, -0.183796724
-1.73851467, 3.42650212, -0.183752973
-1.58683677, 3.4265339, -0.183733214
-2.05219745, 3.42644104, -0.183766674
-1.27546933, 3.42660631, -0.183816172
-1.59402291, 3.42657347, -0.183794991
-1.65454013, 3.42653926, -0.183772874
-0.951399357, 3.42662854, -0.183794988
-1.62845615, 3.42654278, -0.183792855
-1.15241316, 3.42662856, -0.183733113
-1.50674878, 3.42653835, -0.183775088
-1.56654315, 3.42663934, -0.183824607
-1.66618969, 3.42651602, -0.183785445
-1.61925297, 3.42653163, -0.183760283
-1.21365423, 3.42665494, -0.183771148
