h, theta, phi
-1.44221782, 3.42657759, -0.183791217
-1.8456064, 3.42650135, -0.183769963
-1.58561743, 3.42657133, -0.183798408
-1.34982135, 3.4265874, -0.183802121
-2.01228661, 3.42647814, -0.183758312
-1.65493516, 3.42647489, -0.183755862
-1.71753134, 3.42654681, -0.183753772
-1.71501176, 3.42652097, -0.183772661
-1.55243737, 3.42654834, -0.183752507
-1.56351278, 3.42653222, -0.183769061
-1.13293361, 3.42658217, -0.183780171
-1.4766172, 3.42658539, -0.183796299
-1.58120523, 3.42652353, -0.183773234
-1.14310586, 3.42665792, -0.183800081
-1.76270957, 3.42649601, -0.183767751
-1.80061624, 3.42654024, -0.183752998
-1.72736813, 3.42649983, -0.183760402
-1.62860132, 3.42654217, -0.18375875
-1.6841211, 3.42653627, -0.183776194
-1.50105282, 3.42653264, -0.183774233
-1.39521455, 3.42652504, -0.183767829
-1.30312139, 3.42658629, -0.183795171
-1.6992929, 3.42655188, -0.183770993
-1.59082011, 3.42655393, -0.183796061
-1.62383218, 3.42654643, -0.183777088
-1.31410703, 3.42659513, -0.183769691
-1.3150431, 3.42658879, -0.183790998
-1.70326204, 3.42654638, -0.183773538
-1.39259317, 3.42657417, -0.183776639
-1.38610801, 3.4265512, -0.183779239
-1.40252058, 3.42657671, -0.183789007
-1.16513376, 3.42658125, -0.183801849
-1.43038812, 3.42657498, -0.183806417
-1.59442204, 3.42652208, -0.18376131
-1.55495807, 3.42655273, -0.183774141
-1.75431726, 3.4265557, -0.183803398
-1.67825045, 3.4265563, -0.183748605
-1.37115829, 3.42660467, -0.18378535
-1.56053287, 3.42656402, -0.183767412
-1.3239133, 3.42657189, -0.183773941
-1.55426397, 3.42654268, -0.183777387
-1.8759061, 3.42648175, -0.183781443
-1.19676462, 3.42660722, -0.183792909
-1.36220966, 3.42654662, -0.183785368
-1.60958479, 3.42655919, -0.183774736
-1.40214031, 3.42658892, -0.183777951
-1.65598762, 3.42653354, -0.183761505
-1.58088281, 3.42654403, -0.183785019
-1.36965169, 3.42653916, -0.183764343
-1.69121944, 3.42654653, -0.183780018
-1.46024135, 3.42660291, -0.183773116
-1.54529033, 3.42655477, -0.183769798
-1.77048181, 3.42656191, -0.183774504
-1.8067505, 3.42650358, -0.183765208
-1.19656593, 3.42661228, -0.183774675
-1.58376661, 3.42651952, -0.183762563
-1.55677295, 3.4265615, -0.18379403
-1.48117752, 3.42657775, -0.183766326
-1.50488005, 3.42656903, -0.183769928
-1.78559707, 3.42651102, -0.183783655
-1.88174494, 3.42652236, -0.183756968
-1.23060268, 3.42661922, -0.183763252
-1.39422991, 3.42659545, -0.183796558
-1.60971117, 3.4265265, -0.183812057
-1.4404017, 3.42660838, -0.183763756
-1.70003472, 3.42654031, -0.183753171
-1.32708978, 3.42660557, -0.183783063
-1.20501007, 3.42661124, -0.183826325
-1.53870232, 3.42655916, -0.183782369
-1.73549542, 3.42651757, -0.183750608
-1.56022783, 3.42655052, -0.183762185
-1.91283538, 3.42646411, -0.183759698
-1.37390702, 3.42657892, -0.183798093
-1.38099474, 3.42657187, -0.183787424
-1.58125497, 3.42654742, -0.183801935
-1.44052974, 3.42660278, -0.183793525
-1.73494175, 3.42654409, -0.183766853
-1.69724651, 3.42652689, -0.183773304
-1.89522931, 3.42649575, -0.183758358
-1.46072475, 3.42656389, -0.183772863
-1.64512807, 3.426577, -0.183806007
-1.68082496, 3.42658192, -0.183785773
-2.00673187, 3.42642456, -0.18375827
-1.53231748, 3.42655555, -0.183783175
-1.68533646, 3.42655176, -0.183803487
-1.32464089, 3.42658778, -0.183809281
-1.49417496, 3.42658223, -0.183770476
-1.5206041, 3.42657101, -0.183773302
-1.93595037, 3.4264875, -0.183790366
-1.62260689, 3.42652688, -0.183773821
-1.44491375, 3.42659074, -0.183784498
-2.04389915, 3.42649372, -0.183766633
-1.58942488, 3.42657083, -0.183780533
-1.88261694, 3.42651914, -0.183772896
-2.00902229, 3.42648293, -0.183781373
-1.78486984, 3.42653635, -0.183784004
-1.54601136, 3.42657256, -0.183784576
-1.84898529, 3.42649007, -0.183776606
-1.80912841, 3.42649478, -0.183778608
-1.35009825, 3.42655724, -0.183766413
-1.79766363, 3.42651841, -0.183761229
-1.53058623, 3.4265485, -0.183785558
-1.47401436, 3.42654615, -0.183797414
-1.64442221, 3.42654963, -0.183768486
-1.69445264, 3.42657246, -0.183781303
-1.61731483, 3.42651897, -0.183776125
-1.37300309, 3.42656215, -0.183763928
-1.42137996, 3.42660985, -0.183808158
-1.32116738, 3.42658974, -0.18378982
-1.57917424, 3.42654416, -0.183789352
-1.38953536, 3.42659478, -0.183790576
-1.64350347, 3.42652185, -0.183761464
-1.6302922, 3.42654717, -0.183776411
-1.70393049, 3.42654582, -0.183777285
-1.71568555, 3.42654461, -0.183774222
-1.35036319, 3.426579, -0.183769998
-1.19861135, 3.42663209, -0.183769383
-1.35339547, 3.42661127, -0.183784811
-1.51055501, 3.4265776, -0.183783392
-1.5815825, 3.42656297, -0.183795828
-1.92672365, 3.42651492, -0.183760508
-1.63164657, 3.42654049, -0.18375141
-1.41233438, 3.42660642, -0.183785282
-1.58217485, 3.42655985, -0.18377293
-1.51646355, 3.42652461, -0.183756842
-1.38169715, 3.42654922, -0.183789211
-1.49670448, 3.42656972, -0.183790061
-1.51209835, 3.4265472, -0.18375513
-1.46361294, 3.42658012, -0.183792111
-1.55412571, 3.42654389, -0.183767527
-1.22354769, 3.42658929, -0.183800846
-1.59859185, 3.42661229, -0.183796379
-1.49616744, 3.42654671, -0.183771112
-1.62291745, 3.42656972, -0.183763457
-1.41107951, 3.42657404, -0.183769031
-1.52974309, 3.42655037, -0.183767976
-1.6682768, 3.42652192, -0.183766255
-1.65428741, 3.42650949, -0.183757195
-1.38323488, 3.42659717, -0.183787932
-1.57411418, 3.42651043, -0.183764758
-1.67865493, 3.42652363, -0.18376106
-1.70587077, 3.42651819, -0.183769275
-1.71224276, 3.42652224, -0.183763972
-1.50204105, 3.42656627, -0.183755513
-1.30621155, 3.42658317, -0.183777618
-1.4674117, 3.42657948, -0.183775975
-1.57631147, 3.42652695, -0.183750094
-1.4025337, 3.42657261, -0.183772668
-1.55256145, 3.42656056, -0.183783711
-1.93004536, 3.42653168, -0.183759182
-1.61092256, 3.42653702, -0.183780187
-1.55091755, 3.4265564, -0.183765049
-1.91346607, 3.42646938, -0.183759492
-1.22588304, 3.42663452, -0.183786081
-1.62158195, 3.42654706, -0.183757593
-1.42058893, 3.42657122, -0.183778912
-1.65452573, 3.42655175, -0.183774969
-1.54347287, 3.42657346, -0.183778776
-1.46420525, 3.42655081, -0.183751806
-1.9637442, 3.42650016, -0.18375388
-1.45929409, 3.42657469, -0.183787117
-1.36945645, 3.4265678, -0.183787585
-1.43459692, 3.42655905, -0.183771919
-1.47295524, 3.42658688, -0.183774195
-1.59240158, 3.42655034, -0.183784587
-1.51483885, 3.42657669, -0.183764503
-1.64717451, 3.42653368, -0.183774948
-1.29170391, 3.42658492, -0.18377685
-1.60831483, 3.42654857, -0.1837782
-1.43940018, 3.42657113, -0.183773632
-1.76592624, 3.42653212, -0.183778374
-1.55824087, 3.42656772, -0.183754748
-1.59135059, 3.42658649, -0.183807227
-1.56667066, 3.42656465, -0.183763902
-1.43622002, 3.42661067, -0.183782466
-1.30347176, 3.42657891, -0.183763157
-1.59881223, 3.42653921, -0.183792281
-1.03259385, 3.42661602, -0.183776649
-1.77108327, 3.4265633, -0.183788809
-1.69763229, 3.42657014, -0.18376861
-1.32453022, 3.42660869, -0.183766201
-1.53747872, 3.42657556, -0.183775019
-1.43878513, 3.42658004, -0.183781548
-1.56382788, 3.42656429, -0.183782739
-1.99741605, 3.42649989, -0.18377216
-1.47150506, 3.42655044, -0.183783522
-1.15938, 3.42658705, -0.183795753
-1.54019817, 3.42657752, -0.183763545
-1.54188517, 3.42652403, -0.183789997
-1.74011439, 3.42653237, -0.183742367
-1.22009356, 3.42661137, -0.183804603
-1.46593918, 3.42654942, -0.18377996
-1.37360519, 3.42658515, -0.183755451
-1.45792798, 3.42657823, -0.18377947
-1.63715196, 3.42653914, -0.183762915
-1.69713164, 3.42654921, -0.183782097
-1.69018157, 3.42650987, -0.18377862
-1.39637438, 3.42657501, -0.183771336
-1.3649633, 3.42660063, -0.183793703
-1.47937053, 3.42655842, -0.183779517
-1.67188104, 3.42652311, -0.18378071
-1.19014752, 3.42658286, -0.183788158
-1.50497988, 3.42657266, -0.183824295
-1.45421258, 3.42652835, -0.183767882
-1.60920277, 3.42655257, -0.183761988
-1.74656637, 3.42651537, -0.183766248
-1.70362726, 3.42657981, -0.183757229
-1.70158896, 3.42656206, -0.183782618
-1.72581151, 3.42651917, -0.183772961
-1.54832921, 3.42654826, -0.183769047
-1.51589177, 3.42654609, -0.183776597
-1.81671034, 3.426514, -0.183763376
-1.6055472, 3.42654512, -0.183751365
-1.40294091, 3.42659124, -0.183776723
-1.70236191, 3.4265225, -0.183781652
-1.48249798, 3.42655155, -0.183760533
-1.71197875, 3.42652472, -0.183767194
-1.93860461, 3.42650826, -0.183765863
-1.58820576, 3.42657184, -0.183774569
-1.9560978, 3.42650718, -0.183763972
-1.5605478, 3.42657182, -0.18378239
-1.61444434, 3.42656407, -0.183770017
-1.10468667, 3.4266072, -0.183803273
-1.21699775, 3.42659094, -0.183782331
-1.85283207, 3.4264636, -0.183762087
-1.5359606, 3.4265301, -0.183780361
-1.11280259, 3.4266519, -0.183799954
-1.80035613, 3.42655083, -0.183784414
-1.67796777, 3.42654398, -0.183790863
-1.5330715, 3.42654735, -0.183780847
-1.48064958, 3.42652576, -0.183751799
-1.4569714, 3.42656308, -0.183774066
-1.53136381, 3.42656851, -0.183782515
-1.35230353, 3.42657101, -0.183797302
-1.95045763, 3.42648037, -0.183784425
-1.47430736, 3.42658669, -0.183780526
-1.30227874, 3.42657679, -0.183778117
-1.59920855, 3.42656353, -0.183782128
-1.53656356, 3.42654097, -0.183755096
-1.74638192, 3.42653819, -0.183781461
-1.62850707, 3.42658734, -0.183755468
-1.63942529, 3.4265866, -0.183757136
-1.39917644, 3.42655389, -0.183755832
-1.44800713, 3.42654902, -0.183771517
-1.44687077, 3.42655983, -0.183796481
-1.71166334, 3.42653409, -0.183778368
-1.75276048, 3.42656098, -0.183771
-1.17020728, 3.42658473, -0.18378204
-1.52789146, 3.42657176, -0.183779579
-1.5462167, 3.4265622, -0.183772491
-1.69142968, 3.42655284, -0.183774751
-1.67455326, 3.42651665, -0.183781493
-1.41872558, 3.42656796, -0.18376322
-1.69682778, 3.42657089, -0.18377182
-1.48919162, 3.42655489, -0.183778299
-1.41233269, 3.42656764, -0.18376961
-1.40324807, 3.42658526, -0.183770525
-1.75400594, 3.42652017, -0.183768035
-1.31560633, 3.4265599, -0.183772826
-1.54028882, 3.42654509, -0.183779355
-1.79142653, 3.42651686, -0.183764445
-1.95065831, 3.42652816, -0.18376407
-1.77416807, 3.42649716, -0.183789946
-1.76776418, 3.42654353, -0.183767592
-1.27955167, 3.42660902, -0.183788083
-1.64846681, 3.42652258, -0.183777474
-1.7200686, 3.42653946, -0.183779739
-1.56628176, 3.42659605, -0.183774191
