t, v, gamma, h
-256.18, 6035.52, -1.13766, 1.18023e+06
-256.08, 6035.58, -1.1376, 1.17968e+06
-255.98, 6035.64, -1.13754, 1.17913e+06
-255.88, 6035.7, -1.13748, 1.17858e+06
-255.78, 6035.75, -1.13741, 1.17804e+06
-255.68, 6035.81, -1.13735, 1.17749e+06
-255.58, 6035.87, -1.13729, 1.17694e+06
-255.48, 6035.93, -1.13722, 1.17639e+06
-255.38, 6035.99, -1.13716, 1.17584e+06
-255.28, 6036.04, -1.1371, 1.1753e+06
-255.18, 6036.1, -1.13703, 1.17475e+06
-255.08, 6036.16, -1.13697, 1.1742e+06
-254.98, 6036.22, -1.13691, 1.17365e+06
-254.88, 6036.28, -1.13684, 1.17311e+06
-254.78, 6036.33, -1.13678, 1.17256e+06
-254.68, 6036.39, -1.13672, 1.17201e+06
-254.58, 6036.45, -1.13665, 1.17146e+06
-254.48, 6036.51, -1.13659, 1.17091e+06
-254.38, 6036.57, -1.13653, 1.17037e+06
-254.28, 6036.62, -1.13646, 1.16982e+06
-254.18, 6036.68, -1.1364, 1.16927e+06
-254.08, 6036.74, -1.13634, 1.16872e+06
-253.98, 6036.8, -1.13627, 1.16818e+06
-253.88, 6036.86, -1.13621, 1.16763e+06
-253.78, 6036.91, -1.13615, 1.16708e+06
-253.68, 6036.97, -1.13608, 1.16653e+06
-253.58, 6037.03, -1.13602, 1.16599e+06
-253.48, 6037.09, -1.13596, 1.16544e+06
-253.38, 6037.15, -1.13589, 1.16489e+06
-253.28, 6037.21, -1.13583, 1.16434e+06
-253.18, 6037.26, -1.13577, 1.1638e+06
-253.08, 6037.32, -1.1357, 1.16325e+06
-252.98, 6037.38, -1.13564, 1.1627e+06
-252.88, 6037.44, -1.13557, 1.16215e+06
-252.78, 6037.5, -1.13551, 1.16161e+06
-252.68, 6037.56, -1.13545, 1.16106e+06
-252.58, 6037.61, -1.13538, 1.16051e+06
-252.48, 6037.67, -1.13532, 1.15996e+06
-252.38, 6037.73, -1.13526, 1.15942e+06
-252.28, 6037.79, -1.13519, 1.15887e+06
-252.18, 6037.85, -1.13513, 1.15832e+06
-252.08, 6037.91, -1.13506, 1.15777e+06
-251.98, 6037.96, -1.135, 1.15723e+06
-251.88, 6038.02, -1.13494, 1.15668e+06
-251.78, 6038.08, -1.13487, 1.15613e+06
-251.68, 6038.14, -1.13481, 1.15559e+06
-251.58, 6038.2, -1.13475, 1.15504e+06
-251.48, 6038.26, -1.13468, 1.15449e+06
-251.38, 6038.32, -1.13462, 1.15394e+06
-251.28, 6038.37, -1.13455, 1.1534e+06
-251.18, 6038.43, -1.13449, 1.15285e+06
-251.08, 6038.49, -1.13443, 1.1523e+06
-250.98, 6038.55, -1.13436, 1.15175e+06
-250.88, 6038.61, -1.1343, 1.15121e+06
-250.78, 6038.67, -1.13423, 1.15066e+06
-250.68, 6038.73, -1.13417, 1.15011e+06
-250.58, 6038.78, -1.13411, 1.14957e+06
-250.48, 6038.84, -1.13404, 1.14902e+06
-250.38, 6038.9, -1.13398, 1.14847e+06
-250.28, 6038.96, -1.13391, 1.14792e+06
-250.18, 6039.02, -1.13385, 1.14738e+06
-250.08, 6039.08, -1.13379, 1.14683e+06
-249.98, 6039.14, -1.13372, 1.14628e+06
-249.88, 6039.19, -1.13366, 1.14574e+06
-249.78, 6039.25, -1.13359, 1.14519e+06
-249.68, 6039.31, -1.13353, 1.14464e+06
-249.58, 6039.37, -1.13346, 1.14409e+06
-249.48, 6039.43, -1.1334, 1.14355e+06
-249.38, 6039.49, -1.13334, 1.143e+06
-249.28, 6039.55, -1.13327, 1.14245e+06
-249.18, 6039.61, -1.13321, 1.14191e+06
-249.08, 6039.67, -1.13314, 1.14136e+06
-248.98, 6039.72, -1.13308, 1.14081e+06
-248.88, 6039.78, -1.13301, 1.14026e+06
-248.78, 6039.84, -1.13295, 1.13972e+06
-248.68, 6039.9, -1.13289, 1.13917e+06
-248.58, 6039.96, -1.13282, 1.13862e+06
-248.48, 6040.02, -1.13276, 1.13808e+06
-248.38, 6040.08, -1.13269, 1.13753e+06
-248.28, 6040.14, -1.13263, 1.13698e+06
